,No.,Title,Author,Size,Year,Category,Description
1397,2854,"Preliminary 1950 Population of the City of
  Chicago by Enumeration Districts and Wards. (6 maps)",Chicago Plan Commission,"6 maps, 34""x22"" each,
  plus 8.5""x11"" booklet with blue cover.",1950,Population & Sociology/Genl," Maps
  show streets and properties, railroads, parks and boulevards, rivers and
  canals. Enumeration districts for 17th U.S. census outlined and numbered. Map #1:
  S to North, W to Pueblo, N to Howard, E to Pulaski. Map #2:
  S to North, W to Pulaski, N to Howard, E to lakeshore. Map #3:
  Pt. 1: S to 63rd, W to Cottage Grove, NE to Lakeshore. Pt. 2: S to 63rd, W to
  Harlem, N to North, E to Pulaski. Pt. 3: S to 87th, W to Harlem, N to 63rd, E
  to Pulaski. Map #4:
  S to 63rd, W to Pulaski, N to North, E to Cottage Grove. Map #5:
  S to 138th, W to Pulaski, N to 63rd, E to Cottage Grove. Map #6:
  S to 140th, W to Cottage Grove, N to 63rd, E to Avenue C. Booklet
  contains information and statistics on enumeration districts."
1398,2855,Population of Chicago by Community Areas., ,"In plastic sleeve.
  8.5""x11""",1950,Population & Sociology/Genl," Map of
  Chicago showing major streets and community areas. Number of people per area
  in 1940 and 1950 listed in upper right and lower left."
1399,2856,"Population of Cities, Towns, and Unincorporated
  Areas in the Chicago Metropolitan District. (G4104.C4E2.1950.C4)", ,"In plastic sleeve.
  8.5""x11""",1950,Population & Sociology/Genl," Map of
  Chicago area showing municipalities. Chiefly unincorporated areas marked by
  number. Incorporated towns shaded and marked by letter. Legend with
  population numbers at right. Source:
  U.S. Bureau of the Census From:
  copy of qF38M.C43"
1400,2857,Census Tract Boundaries., ,"28.5""x44""",1950,Population & Sociology/Genl," Map of
  Chicago marking major streets. Shows census tract and community area
  boundaries and numbers areas."
1401,2858,Selected Basic Population Maps. (21 Maps),Chicago Plan Commission,"21 sheets, each
  11""x17""",1950,Population & Sociology/Genl," Maps of
  Chicago showing street grid and data derived from 1950 U.S. Census. Map #1:
  Chicago Population by Square Mile Map #2:
  Chicago Occupied Dwelling Units by Square Mile Map #3:
  Chicago Residential Population Map #4:
  Foreign-born White Map #5:
  Percent Foreign-Born White of Total Population Map #6:
  Concentration of Ethnic Groups Map #7:
  Polish Foreign Born Map #8:
  German Foreign Born Map #9:
  Italian Foreign Born Map
  #10: U.S.S.R. Foreign Born Map
  #11: Scandinavian Foreign Born Map
  #12: Irish Foreign Born Map
  #13: Mexican Foreign Born Map
  #14: Percent Negro of Total Population Map
  #15: Nonwhites Except Negroes Map
  #16: Median Income for Families in 1949 Map
  #17: Median School Years Completed Map #18:
  Percent Owner-Occupied Units of All Dwelling Units Map #19:
  Percent of Occupied Dwelling Units with 1.51 or More Persons per Room Map
  #20: Generalized Redevelopment Areas Map #21:
  Potential Redevelopment Areas"
1402,2858b,Selected Basic Population Maps. (5 Maps),Chicago Plan Commission,"5 sheets, each 11""x17""",1950,Population & Sociology/Genl," Maps of
  Chicago showing street grid and data derived from 1950 U.S. Census. Map #1:
  Chicago Population by Square Mile Map #2:
  Chicago Occupied Dwelling Units by Square Mile Map #3:
  Percent Owner-Occupied Units of All Dwelling Units Map #4:
  Median Income for Families in 1949 Map #5:
  Percent of Occupied Dwelling Units with 1.51 or More Persons per Room"
1403,2859,Selected Basic Population Maps. (21 Maps),Chicago Plan Commission,"21 maps, bound with cover. Each
  pg. 17""x11""",1953,Population & Sociology/Genl," Maps of
  Chicago showing street grid and data derived from 1950 U.S. Census. Map #1:
  Chicago Population by Square Mile Map #2:
  Chicago Occupied Dwelling Units by Square Mile Map #3:
  Chicago Residential Population Map #4:
  Foreign-born White Map #5:
  Percent Foreign-Born White of Total Population Map #6:
  Concentration of Ethnic Groups Map #7:
  Polish Foreign Born Map #8:
  German Foreign Born Map #9:
  Italian Foreign Born Map
  #10: U.S.S.R. Foreign Born Map
  #11: Scandinavian Foreign Born Map
  #12: Irish Foreign Born Map
  #13: Mexican Foreign Born Map
  #14: Percent Negro of Total Population Map
  #15: Nonwhites Except Negroes Map
  #16: Median Income for Families in 1949 Map
  #17: Median School Years Completed Map #18:
  Percent Owner-Occupied Units of All Dwelling Units Map #19:
  Percent of Occupied Dwelling Units with 1.51 or More Persons per Room Map
  #20: Generalized Redevelopment Areas Map
  #21: Potential Redevelopment Areas Guide:
  qF38PA C4559 1961"
1404,2860,Census Tracts in Chicago.,University of Chicago,"In plastic sleeve.
  11""x15""",1960,Population & Sociology/Genl," Map of
  Chicago. Marks and numbers 1960 census tract areas and labels boundary
  streets. Guide:
  qF38PA.C4559 1961 ref. Gift:
  Tom Philpott, 3/69"
1405,2861,Census Tracts in Chicago.,University of Chicago,"Fragile, torn at creases.
  21.75""x34""",1960,Population & Sociology/Genl," Map of
  Chicago. Marks and numbers 1960 census tract areas and labels boundary
  streets. Guide:
  qF38PA.C4559 1961 ref."
1406,2862,"Social Base Map of Chicago Showing Industrial
  Areas, Parks, Transportation, and Language Groups.",University of Chicago,"18.5""27""",1926,Population & Sociology/Genl," Map of
  Chicago N to Bryn Mawr, W to Austin, S to 95th. Labels major streets. Marks
  parks, boulevard, and cemeteries, industrial property, and railroad property.
  Labels major ethnic areas by language."
1407,2866,"Total Number of Dwelling Units by Community Area
  City of Chicago.",Chicago Association of Commerce and Industry,"In plastic sleeve.
  8.5""x11""",1940-50,Population & Sociology/Genl," Map of
  Chicago showing major streets and community areas. Number of dwelling units
  per area in 1940 and 1950 listed in upper right and lower left."
1408,2867,Housing Map., ,"On folding sheet, map
  12""x9""",1942,Population & Sociology/Genl," Map of
  Chicago showing major streets. Community areas numbered with legend in upper
  right. Shows special distribution of either types of housing areas by color,
  with legend in lower left. Opposite
  fold: Table summarizing housing areas by type, including statistics on race,
  occupancy, family size, vacancy, etc. From: Residential Chicago vol. 1,
  qF38HB.C43 v. 1 p. 211"
1409,2875,The Chicago Riot., ,"In plastic sleeve.
  10.75""x16.25""",1919,Population & Sociology/Genl," Map of
  Chicago showing streets, parks, railways. Marks deaths, injuries, and
  residences of casualties both negroes and whites. Also marks location of the
  drowning of Eugene Williams which led to riot. S to 74th, W to Leavitt, N to
  Kinzie. Insert map in upper right shows spread of riot"
1410,3199,"Map N. 27 Showing Distribution of Population and
  Local Transportation Lines of Chicago.","Rand, McNally and Co.","In plastic sleeve.
  20""x28""",1902,Population & Sociology/Genl," Map
  showing streets, rail lines including Union Traction Co, City Railway Co, and
  elevated lines. Numbers wards. Marks city borders in red. Area populations
  per square mile marked by color, with legend in upper right. S to Blue
  Island, W to Riverside, N to Devon St."
1411,3200,"Population Growth in Suburban Townships and
  Chicago 1920-1950.",Chicago Regional Planning Association,"11""x25.5""",1951,Population & Sociology/Genl," Three
  maps showing population grown in Chicago and suburbs from 1920-30, 30-40, and
  40-50. Legend in upper right. Include Lake(Ill), Cook, DuPage, Will,
  Lake(Ill) and parts of Kendall, Kane, McHenry, and Porter Counties."
1412,3255,1940 Population.,Chicago Regional Planning Association,"In plastic sleeve.
  8.5""x11""",1942,Population & Sociology/Genl," Map
  showing Cook, DuPage, Lake (Ind), Will, Lake (Ill), and parts of Kane,
  Kendall, and McHenry Counties. Marks population density in Chicago and
  suburbs according to April 1940 U.S. Census. Legend with population numbers
  in upper right. Also includes boundary for U.S. Census Bureaus '1940
  Metropolitan District.' Insert map at right shows incorporated places marking
  population ranges."
1413,3256,Residential Construction 1951-1953.,Chicago. Office of Housing and Redevelopment,"20""x30""",[1954],Population & Sociology/Genl," Map of
  Chicago marking major streets. Divides city in quarter-mile zones and marks
  number of single-family, multi-family, and conversion homes per zones."
1414,4018,City-Wide District Map,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  Chicago showing police districts, marking district headquarters and labelling
  boundary roads. List of headquarters addresses at left. Part of
  stapled set #4018-4039."
1415,4019,1st District Central,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  1st District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1416,4020,2nd District Wabash,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  2nd District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1417,4021,3rd District Grand Crossing,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  3rd District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1418,4022,4th District South Chicago,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  4th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1419,4023,5th District Kensington,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  5th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1420,4024,6th District Gresham,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  6th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1421,4025,7th District Englewood,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  7th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1422,4026,8th District Chicago Lawn,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  8th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1423,4027,9th District Deering,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  9th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1424,4028,10th District Marquette,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  10th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1425,4029,11th District Fillmore,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  11th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
1426,4030,12th District Racine,Chicago Police Department,"11""x17""",1965,Population & Sociology/Genl," Map of
  12th District, Chicago Police Department. Shows streets, railways, parks,
  landmarks. Marks police call boxes. Part of
  stapled set #4018-4039."
